method,eval_split,physical_perturbation_profile,actual,predicted,count,rate
ExtraTreesMulticlassMain,validation,source_energy_scale_validation_mid,Calcite,Calcite,8,1.0
ExtraTreesMulticlassMain,validation,source_energy_scale_validation_mid,Chalcopyrite,Chalcopyrite,8,1.0
ExtraTreesMulticlassMain,validation,source_energy_scale_validation_mid,Dolomite,Dolomite,8,1.0
ExtraTreesMulticlassMain,validation,source_energy_scale_validation_mid,Galena,Galena,8,1.0
ExtraTreesMulticlassMain,validation,source_energy_scale_validation_mid,Hematite,Hematite,8,1.0
ExtraTreesMulticlassMain,validation,source_energy_scale_validation_mid,Magnetite,Magnetite,8,1.0
ExtraTreesMulticlassMain,validation,source_energy_scale_validation_mid,Orthoclase,Orthoclase,8,1.0
ExtraTreesMulticlassMain,validation,source_energy_scale_validation_mid,Pyrite,Pyrite,8,1.0
ExtraTreesMulticlassMain,validation,source_energy_scale_validation_mid,Quartz,Quartz,8,1.0
LogisticMulticlassMain,stress_holdout,calibration_shift_stress_neg,Albite,Albite,8,1.0
LogisticMulticlassMain,stress_holdout,calibration_shift_stress_neg,Calcite,Calcite,8,1.0
LogisticMulticlassMain,stress_holdout,calibration_shift_stress_neg,Chalcopyrite,Chalcopyrite,8,1.0
LogisticMulticlassMain,stress_holdout,calibration_shift_stress_neg,Dolomite,Dolomite,8,1.0
LogisticMulticlassMain,stress_holdout,calibration_shift_stress_neg,Galena,Galena,8,1.0
LogisticMulticlassMain,stress_holdout,calibration_shift_stress_neg,Hematite,Hematite,8,1.0
LogisticMulticlassMain,stress_holdout,calibration_shift_stress_neg,Magnetite,Magnetite,8,1.0
LogisticMulticlassMain,stress_holdout,calibration_shift_stress_neg,Orthoclase,Orthoclase,8,1.0
LogisticMulticlassMain,stress_holdout,calibration_shift_stress_neg,Pyrite,Pyrite,8,1.0
LogisticMulticlassMain,stress_holdout,calibration_shift_stress_neg,Quartz,Quartz,8,1.0
LogisticMulticlassMain,stress_holdout,combined_stress_high,Albite,Albite,8,1.0
LogisticMulticlassMain,stress_holdout,combined_stress_high,Calcite,Calcite,8,1.0
LogisticMulticlassMain,stress_holdout,combined_stress_high,Chalcopyrite,Chalcopyrite,8,1.0
LogisticMulticlassMain,stress_holdout,combined_stress_high,Dolomite,Calcite,5,0.625
LogisticMulticlassMain,stress_holdout,combined_stress_high,Dolomite,Dolomite,3,0.375
LogisticMulticlassMain,stress_holdout,combined_stress_high,Galena,Galena,8,1.0
LogisticMulticlassMain,stress_holdout,combined_stress_high,Hematite,Hematite,8,1.0
LogisticMulticlassMain,stress_holdout,combined_stress_high,Magnetite,Magnetite,8,1.0
